City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
210,Fortuna,US,40.5982,-124.1573,49.12,100,0,8.05,clear sky
211,Husavik,IS,66.0449,-17.3389,14.25,79,99,6.22,overcast clouds
212,Nidzica,PL,53.3605,20.4275,31.59,58,3,9.19,clear sky
213,Khumalag,RU,43.2403,44.4752,50.77,46,3,2.24,clear sky
214,Devils Lake,US,48.1128,-98.8651,-9.42,76,100,4.61,overcast clouds
215,Bodden Town,KY,19.2833,-81.25,77.94,79,6,3.0,clear sky
216,Graham,US,47.0529,-122.2943,42.91,95,0,0.0,light intensity drizzle
217,Saint-Augustin,CA,51.226,-58.6502,2.03,91,100,2.86,overcast clouds
218,East London,ZA,-33.0153,27.9116,81.91,68,1,14.52,clear sky
219,Kamina,CD,-8.7386,24.9906,78.19,62,83,1.63,broken clouds
220,Grand Gaube,MU,-20.0064,57.6608,85.37,64,100,5.01,overcast clouds
221,Sarangani,PH,5.4033,125.4636,82.09,80,100,22.24,overcast clouds
222,Horsham,GB,51.064,-0.3272,45.12,75,40,10.36,scattered clouds
223,Balsas,BR,-7.5325,-46.0356,70.66,95,34,1.5,scattered clouds
224,Pella,RU,59.7775,30.8181,32.04,88,73,10.38,light snow
225,Praia Da Vitoria,PT,38.7333,-27.0667,54.75,87,100,7.14,overcast clouds
226,Rimouski,CA,48.4488,-68.524,35.96,90,99,12.33,overcast clouds
227,Alyangula,AU,-13.8483,136.4192,85.41,65,9,11.43,clear sky
228,Xinpu,CN,34.5997,119.1594,44.74,57,100,10.0,overcast clouds
229,Nikolskoye,RU,59.7035,30.7861,31.87,88,69,10.2,light snow
230,Beira,MZ,-19.8436,34.8389,86.09,66,40,12.66,scattered clouds
231,Tahe,CN,52.3333,124.7333,-2.33,90,100,4.97,overcast clouds
232,Tolaga Bay,NZ,-38.3667,178.3,75.11,86,67,11.43,broken clouds
233,Sisauli,IN,29.4167,77.4667,72.16,26,0,12.17,clear sky
234,Tazmalt,DZ,36.3868,4.3989,50.2,80,93,2.89,overcast clouds
235,Pathein,MM,16.7833,94.7333,84.38,29,38,16.73,scattered clouds
236,Suntar,RU,62.1444,117.6319,-11.42,100,100,2.68,overcast clouds
237,Hornepayne,CA,49.2138,-84.7705,-23.24,96,98,7.74,overcast clouds
238,Avarua,CK,-21.2078,-159.775,75.25,94,59,2.3,broken clouds
239,Camopi,GF,3.1655,-52.3158,70.47,100,98,1.7,overcast clouds
240,Monrovia,LR,6.3005,-10.7969,78.57,84,25,8.79,scattered clouds
241,Milos,GR,36.75,24.4333,56.12,67,100,14.97,overcast clouds
242,Hofn,IS,64.2539,-15.2082,22.15,70,100,24.58,light snow
243,Pyaozerskiy,RU,65.8333,31.1667,12.67,89,20,6.55,few clouds
244,Yar-Sale,RU,66.8333,70.8333,-2.07,83,100,14.03,overcast clouds
245,Andenes,NO,69.3143,16.1194,26.58,80,40,4.61,scattered clouds
246,Constantine,DZ,36.365,6.6147,45.81,87,40,2.3,scattered clouds
247,Bilibino,RU,68.0546,166.4372,-35.95,100,95,1.32,overcast clouds
248,Hwange,ZW,-18.3693,26.5019,81.73,57,54,6.76,light rain
249,Svetlyy,RU,54.675,20.1347,38.97,71,4,16.28,clear sky
250,Chapais,CA,49.7834,-74.8492,2.98,95,100,12.86,light snow
251,Krasnoselkup,RU,65.7,82.4667,0.12,89,6,10.78,clear sky
252,Vila Velha,BR,-20.3297,-40.2925,73.35,97,75,0.0,broken clouds
253,Olafsvik,IS,64.8945,-23.7142,26.82,72,61,27.92,broken clouds
254,Ilulissat,GL,69.2167,-51.1,28.42,59,100,23.02,mist
255,Hoyanger,NO,61.2204,6.0749,36.79,98,100,5.3,light rain
256,Dandong,CN,40.1292,124.3947,32.7,32,100,5.73,overcast clouds
257,Tianpeng,CN,30.9866,103.9393,48.45,63,100,1.45,overcast clouds
258,Yashalta,RU,46.3395,42.2762,45.3,67,80,14.85,broken clouds
259,Timmins,CA,48.4669,-81.3331,-16.87,90,100,11.16,overcast clouds
